Category,Description,Amount,Date,Expense/Income
Salary,Monthly_salary_credit,50000,"2025-01-01",Income
Rent,January_house_rent,12000,"2025-01-02",Expense
Food,Grocery_shopping,1800,"2025-01-03",Expense
Food,Lunch_outside,350,"2025-01-04",Expense
Spotify,Monthly_subscription,119,"2025-01-05",Expense
Shopping,Clothes_purchase,2500,"2025-01-06",Expense
Food,Coffee_and_snacks,220,"2025-01-07",Expense
Food,Dinner_order,480,"2025-01-08",Expense
Shopping,Online_accessories,900,"2025-01-09",Expense
Food,Fruits_and_vegetables,650,"2025-01-10",Expense
Rent,Maintenance_charges,2000,"2025-01-11",Expense
Food,Breakfast_outside,180,"2025-01-12",Expense
Shopping,Footwear_purchase,3200,"2025-01-13",Expense
Food,Grocery_refill,1400,"2025-01-14",Expense
Spotify,Family_plan_renewal,179,"2025-01-15",Expense
Food,Dessert_and_snacks,260,"2025-01-16",Expense
Shopping,Stationery_items,450,"2025-01-17",Expense
Food,Lunch_with_friends,600,"2025-01-18",Expense
Food,Milk_and_bread,120,"2025-01-19",Expense
Salary,Freelance_payment,8000,"2025-01-20",Income
Shopping,Bag_purchase,2200,"2025-01-21",Expense
Food,Dinner_at_restaurant,950,"2025-01-22",Expense
Food,Grocery_shopping,1700,"2025-01-23",Expense
Spotify,Monthly_subscription,119,"2025-01-24",Expense
Shopping,Makeup_purchase,1300,"2025-01-25",Expense
Food,Snacks_and_juice,200,"2025-01-26",Expense
Food,Lunch_order,420,"2025-01-27",Expense
Shopping,Electronics_accessory,1500,"2025-01-28",Expense
Rent,Advance_rent_adjustment,3000,"2025-01-29",Expense
Food,Grocery_shopping,1600,"2025-01-30",Expense
